DeliveryPacketId,OrderId,ASIN,ProductName,ReturnStatus,ReturnDate,OrderReturnBy,SendEmailToCustomer,RefundToGiftCertificate,AmountRefunded,BaseCurrencyCode,ProcessingSuccessful,ForeignExchangeTransactionAmount,ForeignExchangeCurrencyCode,PaymentInformation,SettleType,Status
OGLNBB3Q2708U3AUDV5QJEM8PPODSJL0KNCCLK52TMJKB87PQL0G,D01-2723455-4246619,B077F331W4,"Prime Student Fee",Customer Return Complete,2024-07-29T06:42:00Z,Amazon Initiated,Yes,No,69.04,USD,Yes,Not Available,Not Available,"Not Available",Manual,Amount Settled
49TO8HG0D59AOREL859198M57E4AV2OCTL8N1RDJGS6LKSDV3PN0,D01-0940549-4851434,B077F331W4,"Prime Student Fee",Customer Return Complete,2024-07-29T06:40:00Z,Amazon Initiated,Yes,No,4.49,USD,Yes,Not Available,Not Available,"Not Available",Manual,Amount Settled
