DeliveryPacketId,OrderId,ConditionCode,Quantity,ReasonCode,AffectedItemQuantity,DigitalOrderItemId,ClaimCode,TransactionAmount,BaseCurrencyCode,ForeignExchangeTransactionAmount,ForeignExchangeCurrencyCode,MonetaryComponentType,OfferType
OGLNBB3Q2708U3AUDV5QJEM8PPODSJL0KNCCLK52TMJKB87PQL0G,D01-2723455-4246619,Unused,1,Unwanted,1,KLMLCSTQ7DCNVEV71VC96CFQEB3NDOP3IKA8BLGNJUDUHBNLM3R0,Not Available,63.48,USD,Not Available,Not Available,Price Amount,Not Available
OGLNBB3Q2708U3AUDV5QJEM8PPODSJL0KNCCLK52TMJKB87PQL0G,D01-2723455-4246619,Unused,1,Unwanted,1,KLMLCSTQ7DCNVEV71VC96CFQEB3NDOP3IKA8BLGNJUDUHBNLM3R0,Not Available,5.56,USD,Not Available,Not Available,Tax,Not Available
49TO8HG0D59AOREL859198M57E4AV2OCTL8N1RDJGS6LKSDV3PN0,D01-0940549-4851434,Unused,1,Unwanted,1,BQO6V14FRFG5EDK8HSI55V1QF6KTHRQB455OUQ6D1N109EOB85VG,Not Available,0.37,USD,Not Available,Not Available,Tax,Not Available
49TO8HG0D59AOREL859198M57E4AV2OCTL8N1RDJGS6LKSDV3PN0,D01-0940549-4851434,Unused,1,Unwanted,1,BQO6V14FRFG5EDK8HSI55V1QF6KTHRQB455OUQ6D1N109EOB85VG,Not Available,4.12,USD,Not Available,Not Available,Price Amount,Not Available
