Return Authorization Id,Tracking Id,Return Creation Date,Order Id,Return Ship Option,Carrier Package Id,
DZt2WRLjRRMA,KOH1677917832,2025-01-11T04:50:59Z,113-7306918-2273015,Label_LabelLess_KohlsUSDropOff,KOH1677917832,
DWbpSmLWRRMA,KOH1672807550,2024-12-31T00:09:52Z,113-1062317-9255454,Label_LabelLess_KohlsUSDropOff,KOH1672807550,
DK2zy2LkRRMA,1ZC6W3969001197784,2024-10-31T05:59:39Z,113-5403975-0280232,WFMUSDropOff,ARK04t3qrs4,
DWRYjbGYRRMA,DWRYjbGYRRMA,2024-09-30T07:02:16Z,113-7096780-6460225,WFMUSDropOff,Not Available,
DqRwj8GYRRMA,DqRwj8GYRRMA,2024-09-30T07:00:56Z,113-7162208-3621040,WFMUSDropOff,Not Available,
DrKY8psWRRMA,1ZC6W3969000050371,2024-05-04T00:01:37Z,113-7573708-5677808,WFMUSDropOff,ARK04t2lkFz,
Dh800PsvRRMA,1Z9E8W879063898499,2024-04-10T18:13:32Z,112-4154569-2901036,LabelLess_UPSDropOff,Not Available,
